Reference,Qty,Value,Footprint,Datasheet,Unit Cost (USD),Total Line Cost (USD)
A1,1,Arduino Nano ESP32,Module:Arduino_Nano,https://docs.arduino.cc/resources/datasheets/ABX00083-datasheet.pdf,$19.30 ,$19.30 
D1,1,Red LED,LED_SMD:LED_1206_3216Metric,https://cdn-reichelt.de/documents/datenblatt/A500/SMD1206_ENG_TDS.pdf,$0.50 ,$0.50 
"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13",12,1N4148 Switching Diodes,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,$0.06 ,$0.72 
D14,1,Green LED,LED_SMD:LED_1206_3216Metric,https://cdn-reichelt.de/documents/datenblatt/A500/SMD1206_ENG_TDS.pdf,$0.50 ,$0.50 
LS1,1,8? 1W (CMS-18138A-SP),CMS-18138A-SP:CUI_CMS-18138A-SP,https://th.mouser.com/datasheet/3/6118/1/cms_18138a_sp.pdf,$3.83 ,$3.83 
MK2,1,ICS-43434 Digital I2S Microphone,Sensor_Audio:InvenSense_ICS-43434-6_3.5x2.65mm,https://www.invensense.com/wp-content/uploads/2016/02/DS-000069-ICS-43434-v1.2.pdf,$4.95 ,$4.95 
"R1,R3",2,220? Resistors,Resistor_SMD:R_1206_3216Metric,https://www.vishay.com/docs/60093/fcseries.pdf,$0.05 ,$0.10 
R2,1,1k? Resistor,Resistor_SMD:R_1206_3216Metric,https://www.vishay.com/docs/60093/fcseries.pdf,$0.05 ,$0.05 
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12",12,Cherry MX Mechanical Switches,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,https://cdn.sparkfun.com/datasheets/Components/Switches/MX%20Series.pdf,$0.85 ,$10.20 
U1,1,"0.96"" I2C OLED Display (DM-OLED096-636)",Oled from idk 001:MODULE_DM-OLED096-636,https://www.mouser.com/datasheet/2/1398/Soldered_333099-3395096.pdf?srsltid=AfmBOoqTVLiTRyD0K_lCb79DFfb_nRph8nsbmt9vyyXdmcNGgmd3pVxc,$1.50 ,$1.50 
U2,1,HLK-LD2410C 24GHz Radar Module,HLK-LD2410C:MODULE_HLK-LD2410C,https://drive.google.com/drive/folders/1ypOlacBmmFXY6lDQ0f1hEJFmczNe-0WG,$4.98 ,$4.98 
U3,1,DFPlayer Mini (DFR0299),DFR0299:MODULE_DFR0299,https://dfimg.dfrobot.com/wiki/20532/DFR0299_mp3-player-module_datasheet_V1.0.pdf,$5.91 ,$5.91 
-,1,MicroSD Card 8-16GB,-,https://www.kingston.com/datasheets/SDCIT-specsheet-8gb-32gb_en.pdf,$16.99 ,$16.99 
,,,,,,
,,,,Estimated total cost (USD):,$69.53 ,
